with.disability,without.disability
226,3516
372,2763
510,3233
317,4651
304,2662
669,5548
331,2453
155,3793
340,4620
218,3092
625,5361
308,3315
234,5119
141,1828
441,3813
222,3943
85,1905
214,2630
316,5870
265,2872
345,1450
97,1735
242,3200
350,4457
496,4166
258,3826
211,2499
382,4488
425,5871
347,3296
337,5159
112,1945
369,3613
494,8657
689,6651
782,5756
310,4917
220,4798
679,5944
151,2915
447,3214
704,6908
411,6921
276,3076
367,6241
253,2993
382,5524
209,2506
451,5009
205,2867
317,4389
259,3011
279,4505
513,4649
189,2499
552,6757
204,1588
403,7065
202,2583
320,4351
271,3887
285,3995
241,3346
322,4587
188,2244
432,3933
301,4311
288,5193
1388,7095
321,4079
287,3032
203,2971
316,3303
344,3616
94,2170
321,4538
384,5001
379,3275
222,4681
517,5179
359,4485
264,2797
208,4253
169,2189
686,6834
94,3114
409,5424
241,2388
352,4829
313,7357
262,2854
228,2788
337,5339
650,5484
263,4906
382,3995
275,4501
205,2578
200,2935
352,3883
265,4421
137,2800
289,4483
391,3056
100,1601
236,2422
164,2158
95,1549
164,2346
167,3082
555,4772
593,4666
205,5826
276,2398
506,3177
476,4923
425,2660
362,5204
402,3249
453,6795
345,3009
203,5100
468,6873
226,3494
419,5364
351,7640
315,5097
452,5234
384,2471
360,3993
306,3852
128,2833
485,4696
163,2429
510,7124
350,3645
289,3242
297,4317
171,3065
165,2356
137,2449
482,6707
224,4398
425,5933
489,6362
453,7667
193,5399
428,5890
139,1396
246,5032
359,3672
91,1946
110,2507
251,2954
282,4394
497,4854
314,2306
397,4848
187,2780
655,6335
85,2101
518,6389
208,3209
412,4682
119,4454
171,4142
129,1720
248,3684
198,3103
285,3775
240,4332
207,4683
264,2487
591,6808
275,3932
283,5519
130,3205
394,5351
165,3052
65,1910
188,2911
294,4948
184,3653
498,6753
350,3668
309,3863
287,6438
110,2329
118,3540
305,3466
151,2863
246,5196
349,5064
46,1101
400,5951
720,6452
187,2066
160,3122
354,5902
237,4579
741,5544
284,4531
216,3059
284,3318
269,2134
374,3395
345,3961
245,4576
173,4442
216,3273
167,2125
579,9650
124,2817
311,4571
268,4923
568,6803
295,7253
663,4880
506,5849
254,2977
566,5929
90,1725
166,3616
241,3097
333,5980
335,6214
130,1503
366,7145
263,3288
329,4225
438,4589
338,4465
237,3610
158,3762
148,2719
331,6961
408,6687
321,4841
398,5458
251,3847
322,7216
226,4475
139,4712
190,3267
113,2426
285,2737
358,6576
673,5987
394,5798
221,2802
378,6198
193,3842
79,3357
173,4455
201,3879
