armed.forces,civilian.employed,not.in.labor.force,unemployed
13,1789,1852,88
69,1951,1004,111
37,2223,1417,66
92,2779,1952,145
64,1561,1317,24
99,2763,3134,221
50,1303,1395,36
105,1961,1847,35
87,2310,2475,88
37,1706,1526,41
147,3201,2565,73
50,1782,1728,63
1022,987,3231,113
9,882,1022,56
20,2128,1956,150
41,2227,1716,181
61,1509,350,70
45,1542,1157,100
84,3345,2635,122
74,2329,685,49
7,813,940,35
74,1357,370,31
100,2060,1234,48
92,3065,1580,70
91,2184,2200,187
0,2500,1497,87
30,1699,926,55
150,2699,1863,158
112,3537,2396,251
112,1737,1704,90
82,2869,2400,145
46,989,1011,11
90,2134,1643,115
77,4752,4291,31
33,3541,3518,248
0,3250,3054,234
45,2412,2487,283
12,2480,2382,144
165,3777,2275,406
730,662,1584,90
46,1911,1622,82
196,4394,2961,61
115,3785,3065,367
22,1512,1701,117
84,3388,2940,196
73,1761,1389,23
152,3340,2313,101
53,1720,869,73
161,3199,1945,155
57,1629,1316,70
59,2222,2331,94
0,1879,1299,92
65,2438,2127,154
38,2676,2295,153
19,1455,1155,59
124,3661,3404,120
8,1077,697,10
13,4102,3183,170
17,1629,1069,70
68,2369,2139,95
79,2462,1562,55
34,2375,1814,57
31,2010,1479,67
60,2579,2149,121
0,1316,1068,48
126,1956,2115,168
33,2336,2169,74
142,2509,2738,92
74,3520,4617,272
6,2538,1788,68
41,1587,1632,59
78,1507,1538,51
27,1883,1679,30
42,2195,1640,83
18,1347,889,10
66,2155,2579,59
131,2619,2553,82
46,1814,1701,93
125,2342,2337,99
134,2704,2756,102
79,2454,2240,71
32,1684,1298,47
40,2483,1867,71
41,1164,1092,61
107,3481,3862,70
32,2369,715,92
13,3119,2514,187
18,1196,1357,58
55,2506,2465,155
26,3099,3839,706
0,1727,1302,87
21,1578,1368,49
26,2704,2842,104
66,3076,2805,187
0,3480,1575,114
40,2445,1772,120
11,2863,1778,124
0,1482,1214,87
11,1865,1172,87
14,2427,1731,63
11,2809,1649,217
5,1675,1218,39
34,2825,1813,100
0,1721,1618,108
15,1003,670,13
14,1337,1204,103
4,1220,1073,25
4,776,850,14
10,1351,1090,59
9,1732,1443,65
11,2896,2331,89
27,2797,2359,76
7,2455,3439,130
10,1516,994,154
16,1703,1892,72
43,2965,2257,134
27,1671,1336,51
28,3127,2268,143
0,1973,1627,51
21,4018,2904,305
0,1855,1403,96
0,3012,2085,206
15,4032,3150,144
0,2060,1604,56
9,3204,2376,194
184,4877,2805,125
0,2604,2609,199
0,2914,2609,163
0,1451,1356,48
33,2081,2110,129
0,1933,2174,51
19,1456,1442,44
29,2727,2308,117
24,1109,1407,52
0,4049,3389,196
6,1946,1993,50
14,1805,1676,36
30,2311,2140,133
0,1747,1426,63
5,1216,1283,17
15,1398,1130,43
20,3358,3710,101
26,2091,2488,17
0,3721,2516,121
12,3809,2819,211
46,4247,3685,142
28,4344,1180,40
100,3708,2408,102
8,896,620,11
19,3421,1710,128
13,2299,1560,159
0,1006,933,98
4,1077,1491,45
8,1398,1735,64
17,2183,2424,52
36,2360,2845,110
8,1358,1235,19
50,2430,2729,36
0,1400,1451,116
23,3163,3733,71
4,1193,960,29
0,3591,3174,142
0,2037,1309,71
52,3136,1826,80
9,2882,1629,53
14,2613,1615,71
25,963,837,24
7,2198,1614,113
31,1876,1342,52
0,1608,2359,93
8,2096,2408,60
16,3233,1517,124
0,1171,1400,180
10,3288,4038,63
21,1874,2245,67
9,2810,2852,131
0,1774,1514,47
10,3375,2290,70
0,1830,1345,42
11,1142,788,34
0,2134,874,91
0,3099,1907,236
14,2116,1673,34
8,4175,2880,188
0,2571,1285,162
0,2415,1649,108
0,3757,2768,200
0,1560,820,59
31,2182,1314,131
0,1706,1932,133
10,1550,1434,20
11,3189,2210,32
0,2770,2552,91
0,607,506,34
11,3553,2494,293
19,3703,3215,235
12,1104,1088,49
0,1618,1604,60
27,3110,3070,49
19,2661,2102,34
12,3517,2593,163
0,2556,2105,154
0,1953,1208,114
0,1956,1586,60
16,1424,898,65
0,2453,1291,25
45,2659,1592,10
42,2803,1911,65
0,2635,1837,143
8,2162,1300,19
0,1151,1074,67
103,6042,3799,285
9,1758,1144,30
18,2573,2153,138
10,2830,2198,153
51,4204,2771,345
0,3889,3464,195
37,3080,2240,186
10,3479,2723,143
0,1994,1172,65
15,3305,3011,164
16,930,831,38
40,1874,1840,28
23,1901,1337,77
18,3447,2668,180
78,3836,2384,251
26,1050,502,55
0,4184,3200,127
37,2162,1261,91
0,2790,1665,99
9,2840,2081,97
19,2556,2059,169
31,1894,1835,87
8,2382,1510,20
29,1461,1313,64
0,4262,2909,121
0,3803,3149,143
20,2727,2215,200
17,3109,2459,271
0,2354,1669,75
64,4821,2525,128
75,3262,1332,32
40,3068,1634,109
0,1808,1579,70
32,1758,732,17
0,1607,1398,17
0,3621,3162,151
32,3431,3025,172
8,2958,3057,169
28,1533,1426,36
76,3348,3021,131
59,2101,1750,125
43,1745,1617,31
87,2670,1811,60
13,2118,1878,71
