with.insurance,without.insurance
3514,228
2926,209
3542,201
3984,984
2770,196
5659,558
2700,84
3806,142
4822,138
3102,208
5128,858
3457,166
4158,1195
1883,86
3774,480
3632,533
1918,72
2666,178
5639,547
2805,332
1738,57
1600,232
3041,401
4185,622
4428,234
3476,608
2408,302
4330,540
5911,385
3433,210
5298,198
1997,60
3698,284
6313,2838
5409,1931
5123,1415
4091,1136
4065,953
5432,1191
2262,804
3257,404
6623,989
6563,769
3234,118
5873,735
2919,327
5347,559
2565,150
5099,361
2787,285
4482,224
3112,158
4510,274
5015,147
2615,73
6802,507
1709,83
5731,1737
2465,320
4275,396
3689,469
3916,364
3139,448
4646,263
2228,204
3995,370
4203,409
5215,266
7100,1383
4052,348
3168,151
3058,116
3432,187
3713,247
1994,270
4294,565
4985,400
3482,172
4591,312
5499,197
4692,152
2879,182
4188,273
2097,261
7020,500
3083,125
5155,678
2596,33
4600,581
6264,1406
2781,335
2883,133
5183,493
5632,502
4163,1006
3267,1110
4079,697
2524,259
2706,429
3796,439
3919,767
2697,240
3128,1644
3207,240
1657,44
2274,384
2157,165
1594,50
2425,85
2188,1061
4742,585
4210,1049
3592,2439
1983,691
3104,579
4639,760
2946,139
4745,821
3025,626
5093,2155
2454,900
3843,1460
6183,1158
3501,219
4393,1390
6376,1615
4310,1102
4393,1293
2546,309
4232,121
4074,84
2899,62
4930,251
2536,56
6940,694
3815,180
3220,311
4431,183
3047,189
2460,61
2475,111
6942,247
4558,64
6107,251
6643,208
7396,724
5149,443
5527,791
1433,102
5002,276
3248,783
1560,477
2601,16
3154,51
4616,60
5083,268
2592,28
5120,125
2941,26
6653,337
2135,51
6276,631
3215,202
4648,446
4053,520
3859,454
1774,75
3563,369
2808,493
4021,39
4543,29
4687,203
2692,59
7205,194
4054,153
5603,199
3208,127
5700,45
3173,44
1904,71
3047,52
4532,710
3682,155
5692,1559
3260,758
3630,542
5458,1267
2282,157
3492,166
3302,469
2921,93
5371,71
5287,126
1128,19
5307,1044
6945,227
2195,58
3163,119
6135,121
4500,316
6047,238
4720,95
3219,56
3046,556
2018,385
3635,134
4146,160
4692,129
3782,833
3449,40
2263,29
9205,1024
2873,68
4742,140
5013,178
6863,508
7324,224
5012,531
5473,882
2932,299
6140,355
1767,48
3664,118
3131,207
5628,685
5699,850
1334,299
6307,1204
3205,346
3719,835
4653,374
4249,554
3645,202
3856,64
2763,104
6698,594
7024,71
4500,662
5274,582
3709,389
6774,764
4307,394
4526,325
3310,147
2277,262
2846,176
6268,666
6382,278
6034,158
2901,122
6243,333
3892,143
3219,217
4176,452
3980,100
