asian,black,other,two,white
168,164,357,89,2964
186,63,41,108,2737
215,219,617,153,2539
251,991,656,74,2996
126,510,154,177,1999
305,1209,13,227,4463
149,2,14,51,2568
118,93,30,96,3611
231,47,25,103,4554
272,152,40,207,2639
443,1211,177,375,3780
183,124,93,170,3053
218,1202,101,591,3241
65,91,6,43,1764
750,545,212,142,2605
747,954,65,202,2197
254,592,50,67,1027
390,383,47,107,1917
590,928,343,153,4172
645,546,192,75,1679
38,167,46,80,1464
122,297,220,55,1138
383,1049,253,45,1712
359,874,539,290,2745
716,451,66,423,3006
519,404,432,248,2481
298,610,97,310,1395
945,1140,113,217,2455
530,1385,150,232,3999
529,713,93,168,2140
787,782,148,304,3475
73,65,8,75,1836
348,477,144,146,2867
1169,1760,1760,453,4009
391,1642,844,165,4298
691,2193,480,438,2736
525,1179,762,753,2008
368,1083,549,318,2700
493,2537,267,440,2886
169,603,142,330,1822
459,1248,211,159,1584
1075,1347,1050,361,3779
1141,2956,135,200,2900
1391,295,14,88,1564
1704,1692,101,333,2778
449,632,102,274,1789
1602,731,0,399,3174
205,360,136,56,1958
499,1263,235,366,3097
354,371,89,202,2056
684,53,96,263,3610
813,261,0,161,2035
910,271,73,277,3253
925,304,53,204,3676
528,193,31,160,1776
1700,289,202,307,4811
452,107,0,69,1164
1979,583,1136,42,3728
723,136,54,184,1688
703,150,131,203,3484
195,324,268,58,3313
1337,749,268,185,1741
724,273,214,120,2256
1072,424,167,255,2991
527,570,153,79,1103
573,317,37,397,3041
980,497,128,322,2685
672,444,44,134,4187
1809,1151,188,288,5047
809,197,62,212,3120
724,233,161,146,2055
463,90,63,98,2460
716,537,64,100,2202
414,202,230,174,2940
430,175,22,112,1525
603,74,124,550,3508
1038,438,46,145,3718
568,169,17,68,2832
557,241,37,170,3898
633,396,13,233,4421
783,559,97,241,3164
361,511,75,164,1950
670,866,366,295,2264
393,549,32,287,1097
1439,189,130,422,5340
659,372,134,310,1733
1243,877,274,321,3118
387,130,15,53,2044
1154,113,53,184,3677
954,1375,206,242,4893
600,85,103,259,2069
609,94,36,78,2199
915,121,37,127,4476
1105,200,63,30,4736
1600,201,669,182,2517
410,653,607,116,2591
665,347,817,210,2737
427,37,192,111,2016
674,20,410,81,1950
1134,54,266,124,2657
946,340,858,155,2387
847,155,131,133,1671
619,438,1579,334,1802
1028,157,59,152,2051
234,49,75,42,1301
371,107,93,78,2009
250,92,221,186,1573
124,49,18,24,1429
352,52,4,120,1982
506,159,867,35,1682
1301,444,289,246,3047
688,574,639,147,3211
484,94,2466,430,2557
491,286,263,75,1559
718,225,431,350,1959
923,800,247,235,3194
751,466,102,174,1592
1085,676,586,225,2994
1214,125,245,35,2032
1682,659,1065,412,3430
912,247,834,146,1215
985,113,1345,196,2664
1607,629,628,821,3656
1078,218,41,147,2236
788,2033,409,220,2333
1251,2027,109,734,3870
790,1402,1082,168,1970
1044,1477,85,223,2857
178,928,24,190,1535
980,80,40,187,3066
406,42,26,197,3487
325,32,29,97,2478
1365,277,12,369,3158
564,28,27,197,1776
2036,607,1,357,4633
605,181,107,186,2916
563,215,75,168,2510
768,100,26,222,3498
332,0,5,316,2583
314,0,34,97,2076
277,133,0,205,1971
1181,143,363,293,5209
603,234,0,200,3585
2249,661,32,468,2948
1682,506,15,280,4368
2444,700,62,868,4046
1876,321,393,310,2692
2432,508,224,349,2805
284,134,53,17,1047
1377,108,328,329,3136
1178,549,138,93,2073
296,284,408,44,1005
560,23,39,22,1973
247,81,20,39,2818
647,78,0,36,3915
1303,69,0,204,3775
311,12,22,41,2234
1090,170,137,238,3610
540,75,61,106,2185
1082,112,98,180,5518
423,47,42,111,1563
1212,111,835,360,4389
1292,232,11,182,1700
1084,89,153,237,3531
1609,199,435,49,2281
1180,60,689,303,2081
265,52,28,112,1392
471,424,321,323,2393
570,412,146,120,2053
490,29,91,114,3336
839,90,28,168,3447
1422,224,20,319,2905
764,343,57,102,1485
1874,144,71,223,5087
926,33,10,160,3078
1288,106,0,190,4218
584,90,0,64,2597
730,306,79,130,4500
381,122,34,149,2531
160,52,0,79,1684
341,107,41,125,2485
377,275,859,361,3370
1105,224,136,259,2113
1083,517,1541,329,3781
552,409,460,148,2449
1288,496,472,31,1885
1211,965,1206,159,3184
1204,446,81,23,685
1722,471,84,156,1225
1703,737,144,46,1141
1452,282,0,206,1074
2082,121,76,271,2892
1074,198,32,202,3907
201,178,0,34,734
515,1483,486,154,3713
795,642,15,681,5039
196,99,0,65,1893
290,0,0,76,2916
1011,141,10,243,4851
1266,268,248,217,2817
554,786,122,254,4569
514,170,56,144,3931
351,126,11,131,2656
283,576,64,473,2206
299,292,148,186,1478
462,183,44,135,2945
408,186,6,51,3655
476,114,50,326,3855
423,1314,230,138,2510
271,87,54,162,2915
261,21,11,73,1926
4012,2062,99,232,3824
624,17,24,124,2152
1426,119,75,217,3045
1206,126,42,324,3493
2352,290,74,99,4556
3035,461,85,470,3497
1263,545,97,200,3438
540,313,614,378,4510
796,488,182,222,1543
1405,405,105,301,4279
283,51,0,90,1391
648,30,0,130,2974
422,63,123,98,2632
1530,1110,131,484,3058
1705,368,176,422,3878
568,239,86,174,566
2193,756,304,132,4126
1220,381,91,182,1677
1574,639,248,195,1898
1382,347,554,603,2141
1671,247,181,170,2534
736,55,88,184,2784
1270,438,51,145,2016
541,61,14,114,2137
4287,394,152,161,2298
2116,496,45,234,4204
1668,452,150,223,2669
2214,323,207,258,2854
930,499,10,234,2425
1804,644,155,369,4566
1094,554,147,37,2869
1403,324,79,315,2730
1857,91,7,174,1328
669,446,163,111,1150
689,127,0,125,2081
2093,540,39,469,3793
616,318,146,257,5323
494,243,29,176,5250
293,104,8,118,2500
1074,732,31,132,4607
372,234,0,167,3262
410,238,77,270,2441
713,531,326,236,2822
289,29,7,115,3640
