federal,local,not.working,private.no.profit,private.profit,self.employed.corp,self.employed.no.corp,state
263,120,1953,225,939,137,86,19
425,178,1184,240,914,32,122,40
272,144,1520,125,1436,100,142,4
385,231,2189,229,1759,25,137,13
269,36,1405,135,863,114,126,18
423,206,3454,384,1383,111,232,24
258,57,1481,225,620,35,102,6
570,140,1987,179,825,95,127,25
559,131,2650,235,1056,194,118,17
223,82,1604,219,852,154,133,43
478,207,2785,427,1745,161,174,9
387,65,1841,265,740,106,197,22
462,64,4366,54,345,0,51,11
173,125,1087,46,320,118,70,30
215,37,2126,239,1446,77,87,27
474,127,1938,272,1132,86,111,25
329,53,481,197,860,34,7,29
253,116,1302,179,781,109,84,20
664,257,2841,564,1558,126,155,21
652,157,808,277,1102,54,55,32
170,53,982,57,465,15,34,19
316,56,475,133,752,13,64,23
567,51,1382,245,885,145,83,84
418,245,1742,316,1803,67,79,137
410,163,2478,278,1161,45,119,8
302,213,1584,133,1552,157,95,48
322,122,1011,59,1041,75,54,26
493,141,2171,408,1372,140,114,31
785,224,2759,395,1767,91,195,80
552,102,1906,108,794,33,67,81
912,168,2627,218,1328,60,147,36
266,103,1068,138,367,26,79,10
455,122,1848,208,1114,64,131,40
287,281,4399,390,3534,90,114,56
223,198,3799,269,2550,50,174,77
269,46,3288,309,2364,39,205,18
174,131,2815,202,1673,65,157,10
167,215,2538,225,1568,30,269,6
504,130,2846,323,2283,228,287,22
365,21,2404,46,213,8,9,0
466,54,1750,37,1178,55,73,48
704,308,3218,106,2603,63,610,0
715,378,3547,276,2020,152,186,58
205,125,1840,126,851,76,87,42
703,159,3220,398,1703,102,320,3
339,136,1485,83,965,62,162,14
843,190,2566,313,1642,97,212,43
325,150,995,132,1036,47,20,10
750,327,2261,221,1703,79,90,29
372,125,1443,147,784,91,97,13
335,204,2484,240,1189,64,127,63
249,141,1391,183,1007,154,79,66
285,167,2346,376,1248,62,163,137
402,163,2486,471,1445,56,97,42
174,98,1233,155,713,64,121,130
572,427,3648,379,1767,130,294,92
160,108,715,60,640,33,41,35
274,223,3366,404,2894,106,161,40
135,77,1156,113,1100,95,69,40
449,242,2302,328,1094,39,135,82
454,268,1696,243,1290,65,99,43
444,229,1905,132,1382,52,70,66
142,143,1577,176,1339,37,128,45
443,249,2330,323,1363,54,130,17
169,129,1116,59,805,51,76,27
380,209,2409,251,943,23,93,57
422,141,2276,116,1346,97,179,35
656,204,2972,301,1201,26,81,40
330,211,4963,221,2248,264,227,19
317,242,1862,192,1531,61,107,88
184,77,1732,121,1043,28,84,50
337,84,1667,169,684,117,80,36
233,148,1736,195,1106,50,125,26
296,233,1765,211,1159,39,96,161
168,142,917,224,744,25,44,0
396,185,2704,160,1188,38,140,48
421,218,2766,304,1305,128,178,65
482,143,1840,131,831,65,105,57
429,269,2561,226,1187,81,112,38
642,267,2992,354,1242,92,52,55
731,278,2390,161,1139,59,74,12
444,120,1377,98,872,44,69,37
410,228,1978,217,1497,68,51,12
157,103,1194,145,700,6,43,10
419,371,4039,388,1955,86,198,64
229,121,839,263,1580,96,80,0
273,257,2714,422,1808,247,72,40
250,95,1433,121,566,66,86,12
318,265,2675,307,1238,118,169,91
127,192,4571,511,1803,21,75,370
125,143,1389,101,1143,68,129,18
242,129,1438,196,818,53,114,26
427,211,2972,322,1326,193,145,80
462,271,3058,185,1767,38,317,36
482,210,1689,267,2200,78,191,52
192,104,1932,429,1370,127,200,23
279,203,1913,367,1718,82,180,34
202,53,1301,133,824,127,130,13
106,73,1270,157,1340,50,139,0
305,127,1808,420,1263,70,205,37
262,90,1877,390,1766,57,235,9
202,116,1262,123,987,67,142,38
163,68,1947,166,2102,92,200,34
299,119,1726,97,893,124,189,0
123,67,698,90,553,78,54,38
191,78,1321,177,678,57,125,31
154,42,1102,130,632,25,191,46
141,21,868,67,392,81,55,19
186,74,1159,152,725,88,79,47
144,69,1517,122,1318,23,45,11
297,81,2431,316,1852,60,164,126
252,128,2462,227,1943,141,60,46
47,65,3576,142,1943,53,190,15
99,77,1158,144,988,83,117,8
297,97,1980,164,946,75,94,30
460,223,2434,203,1852,34,108,85
215,139,1414,139,1019,12,108,39
294,148,2439,469,1712,81,409,14
99,144,1678,32,1341,149,192,16
261,311,3230,377,2884,29,21,135
102,166,1499,198,1191,78,85,35
87,92,2291,196,2248,44,331,14
311,300,3309,469,2546,60,279,67
150,107,1660,277,1213,107,169,37
110,63,2579,347,2245,162,235,42
669,199,3114,354,3076,152,371,56
243,106,2808,163,1874,98,115,5
366,183,2772,313,1769,69,189,25
292,84,1404,159,725,56,127,8
243,140,2272,184,1192,140,146,36
347,64,2225,173,1005,160,162,22
174,66,1505,153,847,86,85,45
390,178,2454,204,1671,85,191,8
118,40,1483,104,703,75,57,12
572,152,3585,360,2467,206,231,61
472,94,2049,308,862,55,140,15
224,107,1726,184,1069,79,115,27
210,186,2303,253,1299,173,161,29
175,190,1489,138,1000,191,53,0
143,42,1305,132,696,107,96,0
159,148,1188,138,659,98,176,20
562,140,3831,311,1923,156,216,50
308,121,2531,169,1016,275,202,0
618,166,2637,104,2312,154,347,20
764,197,3042,498,1914,138,150,148
393,192,3873,664,2541,44,285,128
431,145,1248,741,2874,44,38,71
518,86,2610,455,2297,125,108,119
65,77,639,104,531,15,79,25
424,297,1857,439,2031,50,103,77
190,151,1732,222,1497,30,177,32
18,64,1031,159,718,13,26,8
146,62,1540,75,543,141,97,13
237,46,1807,235,651,124,96,9
265,15,2493,320,1282,185,102,14
485,56,2991,297,1179,182,117,44
190,45,1262,126,613,190,132,62
567,125,2815,266,1246,120,67,39
331,61,1567,207,652,96,53,0
447,95,3827,346,1755,285,204,31
348,44,993,140,475,51,92,43
528,129,3316,317,2139,132,276,70
209,68,1380,110,1486,45,101,18
461,162,1958,535,1636,45,179,118
196,161,1691,176,2155,75,96,23
313,111,1700,334,1611,53,175,16
175,56,886,151,418,87,58,18
245,229,1734,372,1216,53,71,12
202,78,1425,180,1178,78,137,23
160,47,2452,134,720,281,219,47
234,49,2476,230,1114,300,145,24
265,68,1657,291,2271,239,82,17
134,64,1580,86,710,110,67,0
229,114,4111,217,2141,369,209,9
350,99,2333,198,950,184,93,0
252,120,2992,170,1801,329,126,12
191,128,1561,135,1028,141,98,53
374,313,2370,370,2047,82,154,35
228,109,1387,204,1186,24,69,10
75,78,833,54,810,29,91,5
192,121,965,183,1465,46,93,34
144,177,2143,156,2260,102,235,25
114,109,1721,146,1602,102,33,10
204,194,3076,144,2981,225,347,80
168,103,1447,145,1820,79,207,49
114,109,1757,113,1941,25,104,9
230,229,2968,172,2701,121,243,61
111,56,879,79,1196,41,45,32
235,98,1476,199,1489,83,55,23
88,96,2065,97,1315,20,64,26
147,81,1464,92,1160,37,17,16
503,171,2253,341,1906,155,94,19
319,218,2643,205,1666,156,177,29
76,50,540,69,339,39,24,10
283,101,2798,449,2462,116,99,43
367,307,3469,240,2507,125,115,42
75,52,1149,124,623,108,110,12
142,37,1664,133,1049,114,125,18
274,178,3146,290,1709,340,276,43
322,168,2155,218,1626,115,157,55
347,93,2768,322,2438,127,190,0
287,145,2259,242,1367,244,245,26
247,119,1322,175,1131,118,154,9
128,110,1646,122,1225,87,229,55
69,78,979,132,1021,46,70,8
192,107,1316,233,1730,52,139,0
227,98,1647,132,1835,207,143,17
444,161,2018,217,1643,90,219,29
159,128,1980,210,1961,9,148,20
246,132,1327,168,1273,103,138,102
121,44,1141,101,706,65,102,12
495,167,4187,701,4230,190,155,104
142,110,1183,201,1163,28,84,30
237,168,2309,220,1712,141,64,31
346,132,2361,257,1778,170,126,21
369,268,3167,495,2659,229,151,33
367,147,3659,376,2539,173,236,51
238,291,2463,246,2013,122,133,37
178,380,2876,155,2366,159,212,29
175,174,1237,229,1307,41,68,0
389,94,3190,280,2093,184,155,110
89,52,885,101,499,70,114,5
151,87,1908,139,1268,144,66,19
142,161,1437,96,1325,81,70,26
238,203,2866,295,2503,77,69,62
334,274,2713,416,2423,114,221,54
47,93,583,96,748,5,21,40
407,414,3327,319,2747,182,77,38
145,141,1389,180,1456,99,91,50
118,232,1764,210,2018,72,124,16
284,281,2187,196,1713,75,191,100
145,213,2247,166,1770,75,155,32
241,202,1953,206,1004,85,113,43
126,211,1538,209,1631,0,113,92
197,157,1406,137,752,96,97,25
557,184,3030,263,2708,307,169,74
417,325,3292,336,2296,157,222,50
95,53,2435,149,2187,73,105,65
245,241,2747,153,2152,125,139,54
362,189,1744,202,1402,98,64,37
273,325,2717,393,3227,303,155,145
454,229,1439,223,2084,44,110,118
338,269,1783,163,2028,73,139,58
149,105,1649,207,1029,125,150,43
156,112,781,138,1156,23,118,55
145,76,1415,154,1051,13,103,65
364,296,3313,246,2336,117,190,72
487,207,3229,240,1838,179,308,172
442,189,3234,302,1515,226,216,68
227,88,1490,55,876,141,105,41
620,265,3228,316,1741,307,75,24
464,205,1934,147,858,249,159,19
221,271,1691,160,877,71,135,10
318,307,1958,352,1401,34,199,59
161,115,1962,263,1175,259,125,20
